Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
"Other Wards","30,71,626","27,12,391","18,90,877","9,75,708","9,54,414","5,89,585","88.3%","69.7%","51.6%","97.8%","3,64,609","38.2%","19.2%","₹12,00,07,713","10.37","₹175.04","71,90,364"
"Shantala Nagar","24,01,161","23,84,599","20,67,653","8,56,568","8,41,607","4,74,271","99.3%","86.7%","41.4%","98.3%","3,67,010","43.6%","19.8%","₹7,11,77,412","7.48","₹138.74","38,63,534"
"Doddakanahalli","17,27,250","17,11,471","14,56,511","5,96,480","5,87,089","3,50,792","99.1%","85.1%","40.9%","98.4%","2,36,139","40.2%","20.3%","₹5,92,11,778","9.02","₹159.54","33,54,728"
"Agara","12,26,026","12,14,797","10,43,176","5,20,539","5,08,562","3,36,728","99.1%","85.9%","49.9%","97.7%","1,71,714","33.8%","27.5%","₹4,75,68,017","7.63","₹137.67","26,33,026"
"Koramangala","11,69,452","11,58,300","9,94,218","5,28,008","5,15,062","3,34,904","99.1%","85.8%","53.1%","97.5%","1,80,001","34.9%","28.6%","₹4,45,96,808","6.97","₹128.74","24,37,405"
"Adugodi","11,91,234","11,82,173","10,05,962","5,36,543","5,22,711","3,13,312","99.2%","85.1%","53.3%","97.4%","2,09,053","40.0%","26.3%","₹4,38,90,701","7.02","₹131.45","23,38,615"
"Suddagunte Palya","13,20,628","13,08,932","11,26,624","5,42,706","5,30,825","2,96,399","99.1%","86.1%","48.2%","97.8%","2,34,284","44.1%","22.4%","₹3,94,11,590","7.11","₹129.98","21,74,999"
"Vasanth Nagar","9,62,005","9,55,421","7,95,373","4,23,856","4,16,058","2,62,534","99.3%","83.2%","53.3%","98.2%","1,53,393","36.9%","27.3%","₹3,59,20,222","7.40","₹132.98","20,32,705"
"Bellanduru","13,65,703","13,54,563","11,76,030","4,47,575","4,40,185","2,57,849","99.2%","86.8%","38.1%","98.3%","1,82,240","41.4%","18.9%","₹4,46,94,374","9.17","₹160.63","25,50,817"
"Hoysala Nagar","7,03,222","6,98,197","5,86,782","3,31,654","3,26,166","2,17,110","99.3%","84.0%","56.5%","98.3%","1,08,961","33.4%","30.9%","₹2,78,98,914","6.37","₹119.80","15,04,039"
"Byrasandra","6,24,214","6,18,914","5,00,722","3,14,383","3,08,615","2,08,058","99.2%","80.9%","62.8%","98.2%","1,00,479","32.6%","33.3%","₹2,47,00,142","6.28","₹113.20","13,72,034"
"Old Thippasandra","6,33,865","6,28,921","5,41,589","3,15,579","3,10,219","2,03,512","99.2%","86.1%","58.3%","98.3%","1,06,602","34.4%","32.1%","₹2,77,16,600","7.01","₹129.86","14,93,473"
"Marathahalli","11,29,332","11,20,935","9,42,426","3,75,796","3,69,706","2,02,837","99.3%","84.1%","39.9%","98.4%","1,66,767","45.1%","18.0%","₹3,57,48,713","9.01","₹160.03","20,11,710"
"Domlur","7,03,108","6,98,041","6,02,252","3,13,868","3,08,639","2,01,305","99.3%","86.3%","52.1%","98.3%","1,07,215","34.7%","28.6%","₹2,80,37,082","7.06","₹130.78","15,07,904"
"HRBR Layout","4,95,908","4,93,395","3,99,052","2,84,677","2,80,474","1,94,414","99.5%","80.9%","71.3%","98.5%","85,982","30.7%","39.2%","₹2,46,94,375","6.66","₹120.75","13,65,275"
"Sampangiram Nagar","9,18,287","9,11,485","7,63,612","3,61,001","3,55,542","1,88,850","99.3%","83.8%","47.3%","98.5%","1,66,584","46.9%","20.6%","₹2,80,29,607","7.69","₹137.83","15,92,800"
"Madivala","7,51,268","7,42,961","6,21,190","3,22,177","3,15,216","1,87,691","98.9%","83.6%","51.9%","97.8%","1,27,466","40.4%","25.0%","₹2,34,98,153","6.69","₹123.51","12,83,390"
"Gandhinagar","5,83,453","5,77,642","4,09,590","2,98,294","2,92,759","1,83,335","99.0%","70.9%","72.8%","98.1%","1,09,334","37.4%","31.4%","₹2,78,00,422","8.46","₹153.09","15,74,607"
"Aramane Nagara","5,46,489","5,42,221","4,16,957","2,85,980","2,79,386","1,80,884","99.2%","76.9%","68.6%","97.7%","98,438","35.2%","33.1%","₹2,49,79,189","7.22","₹128.38","14,25,382"
"Jakkuru","6,29,076","6,24,824","4,85,812","2,97,748","2,91,553","1,79,670","99.3%","77.8%","61.3%","97.9%","1,11,831","38.4%","28.6%","₹2,99,13,410","8.89","₹154.35","17,43,306"
"Vinayakanagar","5,64,655","5,59,717","4,61,557","2,80,715","2,75,406","1,73,474","99.1%","82.5%","60.8%","98.1%","1,01,845","37.0%","30.7%","₹2,32,02,000","7.48","₹133.85","12,92,724"
"J P Nagar","5,26,581","5,22,247","4,23,506","2,72,513","2,66,903","1,72,802","99.2%","81.1%","64.3%","97.9%","93,999","35.2%","32.8%","₹2,14,53,148","6.45","₹116.66","11,86,151"
"Whitefield","8,38,663","8,31,606","6,84,364","2,86,103","2,81,317","1,70,977","99.2%","82.3%","41.8%","98.3%","1,10,293","39.2%","20.4%","₹2,92,80,129","8.52","₹151.14","16,79,399"
"Munnekollala","9,93,367","9,83,688","8,31,207","3,02,856","2,97,146","1,66,505","99.0%","84.5%","36.4%","98.1%","1,30,590","44.0%","16.8%","₹2,95,76,393","9.04","₹159.13","16,87,327"
"Ejipura","5,95,161","5,89,132","4,96,076","2,73,619","2,68,768","1,63,779","99.0%","84.2%","55.2%","98.2%","1,04,902","39.0%","27.5%","₹2,10,92,572","6.47","₹122.29","11,48,191"
"Jeevanbhima Nagar","6,58,033","6,52,625","5,63,304","2,69,919","2,64,220","1,60,433","99.2%","86.3%","47.9%","97.9%","1,03,743","39.3%","24.4%","₹2,43,69,066","8.39","₹149.77","13,67,391"
"Kempapura","4,67,690","4,64,839","3,60,926","2,40,038","2,35,067","1,50,852","99.4%","77.6%","66.5%","97.9%","84,173","35.8%","32.3%","₹2,28,86,452","8.28","₹145.63","13,22,285"
"HSR - Singasandra","6,33,334","6,27,352","5,20,343","2,55,679","2,50,108","1,45,339","99.1%","82.9%","49.1%","97.8%","1,04,704","41.9%","22.9%","₹2,14,87,915","7.91","₹141.29","12,09,859"
"Shakambari Nagar","4,04,779","4,01,530","3,10,798","2,15,522","2,11,098","1,43,850","99.2%","77.4%","69.3%","97.9%","67,203","31.8%","35.5%","₹1,68,47,054","6.29","₹114.15","9,35,402"
"New Thippasandra","5,14,162","5,09,398","4,30,195","2,16,416","2,12,511","1,41,334","99.1%","84.5%","50.3%","98.2%","71,126","33.5%","27.5%","₹2,03,34,402","7.57","₹135.66","11,38,133"
"Hudi","6,24,101","6,19,409","5,05,072","2,41,433","2,37,996","1,39,066","99.3%","81.5%","47.8%","98.6%","98,878","41.5%","22.3%","₹2,40,67,402","8.59","₹152.37","13,76,861"
"Ulsoor","5,91,305","5,86,928","5,09,987","2,34,286","2,31,034","1,37,688","99.3%","86.9%","45.9%","98.6%","93,291","40.4%","23.3%","₹1,94,96,628","7.28","₹132.34","10,87,433"
"Horamavu","4,74,215","4,71,298","3,73,096","2,17,363","2,13,193","1,34,402","99.4%","79.2%","58.3%","98.1%","78,766","37.0%","28.3%","₹2,14,19,228","8.54","₹149.94","12,43,702"
"C V Raman Nagar","5,53,745","5,49,626","4,43,121","2,23,614","2,20,398","1,33,108","99.3%","80.6%","50.5%","98.6%","87,237","39.6%","24.0%","₹1,89,27,535","7.35","₹132.29","10,61,714"
"BTM Layout","5,92,216","5,86,375","4,86,876","2,31,084","2,25,865","1,31,673","99.0%","83.0%","47.5%","97.7%","94,148","41.7%","22.2%","₹1,71,59,245","6.85","₹126.39","9,44,612"
"AECS Layout","6,76,398","6,71,200","5,54,146","2,25,651","2,22,152","1,31,372","99.2%","82.6%","40.7%","98.4%","90,735","40.8%","19.4%","₹2,16,64,546","7.79","₹141.87","12,21,715"
"Banasavadi","3,99,496","3,96,889","3,20,276","1,96,872","1,93,129","1,29,571","99.4%","80.7%","61.5%","98.1%","63,520","32.9%","32.4%","₹1,81,19,313","7.33","₹131.58","10,27,738"
"Hennur","4,15,505","4,12,861","3,18,728","2,06,331","2,02,957","1,29,335","99.4%","77.2%","64.7%","98.4%","73,580","36.3%","31.1%","₹1,80,50,307","7.26","₹130.63","10,26,125"
"N S Palya","4,67,723","4,62,917","3,82,404","2,02,109","1,97,602","1,28,229","99.0%","82.6%","52.8%","97.8%","69,328","35.1%","27.4%","₹1,68,04,588","7.29","₹131.77","9,32,215"
"Dodda Nekkundi","6,07,388","6,02,318","4,96,200","2,14,444","2,10,757","1,27,586","99.2%","82.4%","43.2%","98.3%","83,119","39.4%","21.0%","₹2,15,82,457","8.44","₹148.42","12,35,186"
"Jnana Bharathi","3,19,314","3,16,723","2,27,074","1,86,083","1,82,666","1,25,721","99.2%","71.7%","82.0%","98.2%","56,904","31.1%","39.4%","₹1,63,82,506","7.13","₹124.87","9,47,899"
"Sarakki","3,40,594","3,37,939","2,69,400","1,93,160","1,88,967","1,25,071","99.2%","79.7%","71.7%","97.8%","63,821","33.8%","36.7%","₹1,49,15,086","6.07","₹111.14","8,13,727"
"Subramanyapura","3,55,850","3,52,874","2,69,420","1,86,568","1,82,249","1,24,196","99.2%","76.4%","69.3%","97.7%","58,020","31.8%","34.9%","₹1,72,48,916","7.97","₹139.95","9,98,378"
"Pulikeshinagar","3,72,621","3,70,303","3,05,602","1,86,689","1,84,193","1,22,558","99.4%","82.5%","61.1%","98.7%","61,553","33.4%","32.9%","₹1,46,06,750","5.85","₹110.85","7,95,966"
"Kalkere","4,74,310","4,71,110","3,80,594","1,95,394","1,92,404","1,21,528","99.3%","80.8%","51.3%","98.5%","70,832","36.8%","25.6%","₹1,97,39,152","8.75","₹154.38","11,34,101"
"Ibluru","5,29,396","5,24,454","4,51,357","1,96,173","1,92,428","1,20,717","99.1%","86.1%","43.5%","98.1%","71,676","37.3%","22.8%","₹1,87,02,426","8.26","₹146.46","10,52,691"
"Kalena Agrahara","4,70,987","4,65,367","3,74,447","1,89,087","1,85,254","1,20,613","98.8%","80.5%","50.5%","98.0%","64,607","34.9%","25.6%","₹2,05,90,403","9.98","₹172.89","11,98,826"
"Vishveshwara Puram","3,87,229","3,84,832","2,94,439","1,90,086","1,86,643","1,20,170","99.4%","76.5%","64.6%","98.2%","66,426","35.6%","31.0%","₹1,41,85,350","6.65","₹120.04","7,95,860"
"Rajarajeshwari Nagar","2,97,997","2,95,464","2,08,838","1,74,366","1,70,354","1,19,567","99.2%","70.7%","83.5%","97.7%","50,761","29.8%","40.1%","₹1,73,02,405","7.97","₹137.66","10,13,757"
"Hulimavu","3,99,563","3,95,970","3,17,072","1,86,245","1,82,318","1,19,094","99.1%","80.1%","58.7%","97.9%","63,188","34.7%","29.8%","₹1,72,54,752","7.91","₹141.18","9,79,150"
"Mahadevapura","5,19,993","5,16,186","4,22,924","1,97,874","1,95,067","1,16,959","99.3%","81.9%","46.8%","98.6%","78,061","40.0%","22.5%","₹1,80,52,185","7.57","₹137.16","10,18,123"
"Belathur","4,73,171","4,68,835","3,59,181","1,89,652","1,86,679","1,15,788","99.1%","76.6%","52.8%","98.4%","70,818","37.9%","24.5%","₹1,97,51,448","8.71","₹153.60","11,38,460"
"Rupenaagrahara","4,68,424","4,64,133","3,86,058","1,95,007","1,90,728","1,11,611","99.1%","83.2%","50.5%","97.8%","79,081","41.5%","23.8%","₹1,67,17,199","7.96","₹142.96","9,48,513"
"Byatarayanapura","3,26,788","3,24,286","2,47,453","1,72,205","1,68,796","1,10,246","99.2%","76.3%","69.6%","98.0%","58,518","34.7%","33.7%","₹1,73,87,578","8.48","₹148.43","10,12,272"
"Jogupalya","3,52,576","3,49,570","2,98,481","1,65,972","1,63,111","1,08,242","99.2%","85.4%","55.6%","98.3%","54,840","33.6%","30.7%","₹1,38,70,184","6.39","₹118.33","7,64,262"
"Hemmigepura","3,24,225","3,18,922","2,24,149","1,61,678","1,58,827","1,06,777","98.4%","70.3%","72.1%","98.2%","52,002","32.7%","32.9%","₹1,57,55,609","8.48","₹146.23","9,24,865"
"Babusab Palya","3,87,542","3,84,927","3,15,006","1,71,652","1,68,721","1,05,895","99.3%","81.8%","54.5%","98.3%","62,790","37.2%","27.3%","₹1,51,17,374","7.23","₹131.09","8,54,485"
"Kogilu","3,23,620","3,20,789","2,21,308","1,64,071","1,59,915","1,04,384","99.1%","69.0%","74.1%","97.5%","55,521","34.7%","32.3%","₹2,05,01,848","11.34","₹190.25","12,29,470"
"Konena Agrahara","3,98,931","3,95,259","3,35,826","1,62,443","1,59,894","1,02,850","99.1%","85.0%","48.4%","98.4%","57,016","35.7%","25.8%","₹1,52,86,571","8.17","₹146.20","8,59,142"
"Konanakunte","2,88,519","2,86,472","2,17,972","1,58,009","1,54,765","1,01,021","99.3%","76.1%","72.5%","97.9%","53,684","34.7%","35.0%","₹1,28,39,437","6.87","₹122.45","7,20,459"
"Sunkenahalli","2,66,613","2,64,632","2,07,272","1,51,687","1,48,854","1,00,920","99.3%","78.3%","73.2%","98.1%","47,886","32.2%","37.9%","₹1,21,27,955","6.41","₹114.38","6,86,467"
"Kadu Malleshwara","2,34,374","2,32,026","1,77,602","1,42,192","1,39,524","1,00,728","99.0%","76.5%","80.1%","98.1%","38,757","27.8%","43.0%","₹1,29,11,553","7.26","₹127.05","7,43,775"
"Subhash Nagar","3,12,008","3,08,910","2,15,494","1,63,133","1,60,185","96,108","99.0%","69.8%","75.7%","98.2%","64,030","40.0%","30.8%","₹1,52,44,495","8.63","₹153.30","8,65,902"
"Radhakrishna Temple Ward","2,35,760","2,34,113","1,81,242","1,42,398","1,38,698","94,980","99.3%","77.4%","78.6%","97.4%","43,684","31.5%","40.3%","₹1,30,95,032","7.40","₹130.61","7,49,821"
"Amrutahalli","2,90,243","2,88,253","2,21,378","1,44,297","1,41,512","90,988","99.3%","76.8%","65.2%","98.1%","50,503","35.7%","31.4%","₹1,44,84,899","8.49","₹149.11","8,40,939"
"Nagapura","2,24,785","2,22,670","1,57,606","1,34,768","1,32,094","90,419","99.1%","70.8%","85.5%","98.0%","41,635","31.5%","40.2%","₹1,13,69,271","6.80","₹120.42","6,47,417"
"Lingarajapura","2,47,617","2,46,121","2,06,967","1,34,855","1,33,228","89,020","99.4%","84.1%","65.2%","98.8%","44,176","33.2%","35.9%","₹1,10,30,167","6.22","₹115.48","6,11,475"
"Devasandra","3,28,961","3,26,957","2,69,416","1,53,505","1,51,453","88,876","99.4%","82.4%","57.0%","98.7%","62,507","41.3%","27.0%","₹1,44,25,616","7.70","₹139.96","7,93,244"
"Arakere","2,97,635","2,95,178","2,36,337","1,34,482","1,31,785","88,063","99.2%","80.1%","56.9%","98.0%","43,700","33.2%","29.6%","₹1,27,50,606","7.82","₹139.77","7,26,830"
"Bilekhalli","3,41,292","3,37,884","2,79,585","1,38,524","1,35,758","86,611","99.0%","82.7%","49.5%","98.0%","49,113","36.2%","25.4%","₹1,23,55,272","8.19","₹144.87","6,96,746"
"Lal Bahadur Nagar","2,98,439","2,96,273","2,33,434","1,30,990","1,28,841","85,453","99.3%","78.8%","56.1%","98.4%","43,354","33.7%","28.6%","₹1,17,87,280","7.19","₹129.90","6,63,330"
"Hombegowda Nagara","2,97,006","2,95,059","2,42,405","1,34,879","1,32,613","84,882","99.3%","82.2%","55.6%","98.3%","47,700","36.0%","28.6%","₹1,02,91,927","6.40","₹119.14","5,72,545"
"Sanjaya Nagar","2,32,325","2,30,554","1,73,003","1,26,576","1,23,907","84,364","99.2%","75.0%","73.2%","97.9%","39,515","31.9%","36.3%","₹1,19,50,621","7.31","₹130.66","6,90,457"
"Jalakanteshwara Nagara","3,41,355","3,38,254","2,85,154","1,27,964","1,26,460","84,108","99.1%","84.3%","44.9%","98.8%","42,323","33.5%","24.6%","₹1,23,21,916","8.16","₹146.14","6,90,292"
"Subramanya Nagar","2,27,183","2,24,956","1,67,526","1,34,840","1,32,053","84,018","99.0%","74.5%","80.5%","97.9%","47,975","36.3%","37.0%","₹1,16,20,465","7.33","₹130.39","6,58,156"
"A Narayanapura","3,80,520","3,78,236","2,97,503","1,50,915","1,48,604","83,641","99.4%","78.7%","50.7%","98.5%","64,929","43.7%","22.0%","₹1,29,60,687","7.84","₹144.20","7,24,832"
"Dharmaraya Swamy Temple Ward","3,66,440","3,64,066","2,97,903","1,56,645","1,54,173","81,338","99.4%","81.8%","52.6%","98.4%","72,800","47.2%","22.2%","₹1,17,91,632","8.25","₹144.28","6,77,451"
"Ganesh Mandir ward","1,94,825","1,93,315","1,48,871","1,17,351","1,15,021","81,053","99.2%","77.0%","78.8%","98.0%","33,945","29.5%","41.6%","₹92,25,801","6.34","₹114.06","5,18,193"
"Maruthi Seva Nagar","2,42,742","2,41,202","1,99,286","1,22,196","1,20,619","77,966","99.4%","82.6%","61.3%","98.7%","42,616","35.3%","32.1%","₹1,04,65,501","6.83","₹125.11","5,88,080"
"Yediyur","2,17,584","2,15,964","1,73,558","1,16,380","1,14,022","77,289","99.3%","80.4%","67.1%","98.0%","36,701","32.2%","35.5%","₹93,36,611","6.16","₹111.86","5,24,159"
"RBI layout","2,38,409","2,36,384","1,91,958","1,14,847","1,12,912","75,034","99.2%","81.2%","59.8%","98.3%","37,859","33.5%","31.5%","₹1,03,08,499","7.74","₹138.01","5,86,125"
"Basavanagudi","1,86,676","1,85,269","1,41,789","1,07,661","1,05,222","74,855","99.3%","76.5%","75.9%","97.7%","30,342","28.8%","40.1%","₹87,39,365","5.93","₹106.91","4,94,307"
"Ashoka Pillar","2,40,165","2,38,394","1,93,374","1,16,459","1,14,382","74,768","99.3%","81.1%","60.2%","98.2%","39,588","34.6%","31.1%","₹88,92,465","6.24","₹113.58","4,95,915"
"Shanthi Nagar","2,95,377","2,93,117","2,50,398","1,19,619","1,17,491","74,214","99.2%","85.4%","47.8%","98.2%","43,247","36.8%","25.1%","₹88,32,651","6.12","₹113.80","4,89,106"
"Hebbala","2,10,018","2,08,859","1,60,264","1,13,237","1,11,227","74,191","99.5%","76.7%","70.7%","98.2%","37,015","33.3%","35.3%","₹1,04,51,800","7.18","₹128.16","6,00,960"
"Jakkasandra","2,93,539","2,90,421","2,34,646","1,22,559","1,20,381","71,542","98.9%","80.8%","52.2%","98.2%","48,812","40.6%","24.4%","₹1,00,09,357","7.65","₹137.15","5,61,808"
"Vasanthpura","1,97,481","1,95,766","1,46,501","1,06,645","1,04,593","71,270","99.1%","74.8%","72.8%","98.1%","33,305","31.8%","36.1%","₹91,66,566","7.22","₹127.94","5,22,826"
"Chatrapati Shivaji","2,46,998","2,45,430","1,68,460","1,23,534","1,21,287","70,969","99.4%","68.6%","73.3%","98.2%","50,282","41.5%","28.7%","₹1,18,52,321","10.02","₹176.51","6,84,706"
"Ganga Nagar","1,88,574","1,87,413","1,43,991","1,05,956","1,03,887","70,862","99.4%","76.8%","73.6%","98.0%","33,000","31.8%","37.6%","₹91,41,119","6.67","₹120.88","5,17,686"
"Veeramadakari","2,20,637","2,19,153","1,62,699","1,11,091","1,08,624","70,763","99.3%","74.2%","68.3%","97.8%","37,831","34.8%","32.1%","₹93,32,952","7.09","₹125.90","5,37,835"
"Kodigehalli","1,96,145","1,94,961","1,49,308","1,07,883","1,05,725","70,564","99.4%","76.6%","72.3%","98.0%","35,140","33.2%","36.0%","₹1,02,30,486","7.60","₹133.63","5,93,640"
"Chunchaghatta","2,17,645","2,15,880","1,68,160","1,02,629","1,00,846","69,785","99.2%","77.9%","61.0%","98.3%","31,050","30.8%","32.1%","₹98,09,361","8.04","₹142.83","5,61,909"
"Girinagar","1,51,298","1,50,124","1,09,429","94,526","92,674","68,559","99.2%","72.9%","86.4%","98.0%","24,098","26.0%","45.3%","₹81,20,554","6.16","₹110.86","4,64,514"
"Vidyaranyapura","1,62,334","1,61,161","1,15,878","94,688","92,989","68,434","99.3%","71.9%","81.7%","98.2%","24,532","26.4%","42.2%","₹1,02,60,458","8.23","₹142.87","6,01,776"
"Puttenahalli - Sarakki Lake","2,07,078","2,05,166","1,62,436","1,05,664","1,03,627","68,322","99.1%","79.2%","65.0%","98.1%","35,287","34.1%","33.0%","₹89,25,759","6.89","₹124.26","5,02,544"
"Vijnana Nagar","2,84,810","2,82,184","2,36,325","1,02,203","1,00,939","67,616","99.1%","83.7%","43.3%","98.8%","33,306","33.0%","23.7%","₹1,04,84,765","8.31","₹148.27","5,91,561"
"Ramamurthy Nagara","2,32,429","2,31,146","1,81,021","1,02,245","1,00,972","66,479","99.5%","78.3%","56.5%","98.8%","34,467","34.1%","28.6%","₹93,19,066","7.22","₹130.58","5,26,973"
"Kacharkanahalli","1,91,730","1,90,608","1,51,235","1,00,993","99,607","65,419","99.4%","79.3%","66.8%","98.6%","34,157","34.3%","34.1%","₹83,39,738","6.79","₹123.42","4,68,312"
"New Bayappanahalli","2,54,107","2,52,254","2,09,679","1,08,901","1,07,300","65,408","99.3%","83.1%","51.9%","98.5%","41,874","39.0%","25.7%","₹88,28,102","6.72","₹121.67","4,95,902"
"Uttarahalli","1,86,490","1,85,055","1,40,087","98,160","95,735","65,255","99.2%","75.7%","70.1%","97.5%","30,463","31.8%","35.0%","₹83,20,142","7.63","₹135.69","4,73,598"
"Begur","2,65,563","2,63,194","2,09,042","1,06,436","1,04,409","65,013","99.1%","79.4%","50.9%","98.1%","39,383","37.7%","24.5%","₹1,08,98,601","9.51","₹165.47","6,32,169"
"Kaval Bairasandra","1,93,601","1,92,567","1,52,405","97,995","96,136","63,841","99.5%","79.1%","64.3%","98.1%","32,275","33.6%","33.0%","₹85,33,133","6.86","₹124.91","4,83,576"
"Malleswaram","1,66,854","1,65,380","1,22,220","93,842","91,944","63,512","99.1%","73.9%","76.8%","98.0%","28,406","30.9%","38.1%","₹76,87,376","6.73","₹120.55","4,36,550"
"Varthuru","4,02,250","3,90,539","3,24,590","1,05,265","1,03,606","62,888","97.1%","83.1%","32.4%","98.4%","40,705","39.3%","15.6%","₹1,29,61,411","10.96","₹190.49","7,59,723"
"Hagadur","2,78,239","2,74,893","2,17,235","1,04,341","1,02,653","62,887","98.8%","79.0%","48.0%","98.4%","39,751","38.7%","22.6%","₹1,11,27,797","8.77","₹153.23","6,43,245"
"Padmanabha Nagar","1,58,399","1,57,105","1,20,091","90,719","88,380","62,331","99.2%","76.4%","75.5%","97.4%","26,035","29.5%","39.4%","₹73,40,332","6.31","₹113.41","4,14,667"
"Chamrajapet","2,00,517","1,98,991","1,50,994","1,04,756","1,02,838","61,777","99.2%","75.9%","69.4%","98.2%","41,031","39.9%","30.8%","₹77,86,960","6.75","₹120.21","4,45,176"
"Umamaheshwara Ward","1,64,543","1,63,007","1,25,458","91,960","89,945","61,347","99.1%","77.0%","73.3%","97.8%","28,580","31.8%","37.3%","₹74,19,194","5.88","₹107.51","4,18,110"
"Yelahanka Satellite Town","1,69,746","1,68,473","1,20,260","96,807","95,135","61,324","99.3%","71.4%","80.5%","98.3%","33,788","35.5%","36.1%","₹98,08,967","8.69","₹149.50","5,77,463"
"Anjanapura","1,81,644","1,79,006","1,35,191","91,485","88,729","60,694","98.6%","75.5%","67.7%","97.0%","28,021","31.6%","33.4%","₹91,40,657","8.31","₹144.46","5,31,947"
"Jayachamarajendra  Nagar","1,67,767","1,66,630","1,30,339","90,839","89,181","60,216","99.3%","78.2%","69.7%","98.2%","28,949","32.5%","35.9%","₹78,87,322","6.65","₹120.71","4,47,086"
"Jayamahal","1,99,847","1,98,600","1,54,332","96,533","95,354","57,697","99.4%","77.7%","62.5%","98.8%","37,629","39.5%","28.9%","₹81,78,556","7.08","₹130.82","4,49,166"
"Shettihalli","1,72,369","1,70,961","1,21,801","87,975","86,145","56,658","99.2%","71.2%","72.2%","97.9%","29,465","34.2%","32.9%","₹76,92,274","7.57","₹131.12","4,50,388"
"Lakkasandra","2,44,683","2,42,974","2,02,937","96,480","94,954","56,502","99.3%","83.5%","47.5%","98.4%","38,431","40.5%","23.1%","₹73,61,671","6.97","₹126.23","4,13,147"
"Dattatreya Temple","1,39,810","1,38,323","1,04,347","81,795","80,384","56,306","98.9%","75.4%","78.4%","98.3%","24,051","29.9%","40.3%","₹70,92,611","6.58","₹118.04","4,04,266"
"Medahalli","2,10,416","2,08,912","1,60,872","89,864","88,720","56,103","99.3%","77.0%","55.9%","98.7%","32,596","36.7%","26.7%","₹95,02,663","8.86","₹157.11","5,52,030"
"K R Puram","2,46,849","2,45,151","1,81,931","96,758","95,586","55,788","99.3%","74.2%","53.2%","98.8%","39,775","41.6%","22.6%","₹87,30,663","8.15","₹144.68","5,01,154"
