Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
"Garudachar Playa","2,33,812","2,32,336","1,91,372","97,957","96,448","55,750","99.4%","82.4%","51.2%","98.5%","40,674","42.2%","23.8%","₹90,38,348","8.30","₹147.09","5,10,788"
"Katriguppe","1,36,402","1,35,253","1,00,769","81,074","79,166","55,446","99.2%","74.5%","80.5%","97.6%","23,701","29.9%","40.6%","₹64,75,234","6.52","₹117.47","3,66,779"
"Devarachikkanahalli","2,26,563","2,24,459","1,81,209","88,766","87,174","55,262","99.1%","80.7%","49.0%","98.2%","31,900","36.6%","24.4%","₹83,43,832","8.29","₹147.16","4,75,621"
"Kempegowda Ward","2,23,033","2,20,550","1,58,743","91,311","89,805","54,974","98.9%","72.0%","57.5%","98.4%","34,816","38.8%","24.6%","₹99,49,162","9.86","₹168.46","5,92,827"
"Neelasandra","2,20,700","2,19,466","1,87,313","90,231","88,979","54,805","99.4%","85.3%","48.2%","98.6%","34,144","38.4%","24.8%","₹64,63,739","5.83","₹110.57","3,52,007"
"Kumaraswamy Layout","1,43,853","1,42,737","1,05,455","82,322","80,684","54,590","99.2%","73.9%","78.1%","98.0%","26,080","32.3%","38.0%","₹63,71,132","6.39","₹114.23","3,58,192"
"Thanisandra","1,55,904","1,55,006","1,13,130","84,772","82,935","54,435","99.4%","73.0%","74.9%","97.8%","28,487","34.4%","34.9%","₹87,98,989","8.64","₹150.70","5,14,432"
"Attiguppe","1,22,277","1,21,113","83,123","74,314","72,200","52,845","99.1%","68.6%","89.4%","97.2%","19,332","26.8%","43.2%","₹64,67,725","6.97","₹123.87","3,69,824"
"Ramaswamy Palya","1,58,326","1,57,576","1,31,163","78,156","76,894","52,575","99.5%","83.2%","59.6%","98.4%","24,304","31.6%","33.2%","₹62,18,113","6.07","₹112.24","3,44,823"
"Sudham Nagara","2,07,651","2,06,119","1,68,626","88,531","86,990","51,838","99.3%","81.8%","52.5%","98.3%","35,118","40.4%","25.0%","₹71,47,733","7.44","₹132.63","4,06,732"
"Kanneshwara Rama","1,37,753","1,36,778","1,02,151","76,606","75,289","50,824","99.3%","74.7%","75.0%","98.3%","24,444","32.5%","36.9%","₹66,66,800","7.24","₹126.82","3,83,834"
"Gurappanapalya","2,19,358","2,17,350","1,75,884","97,073","95,401","50,729","99.1%","80.9%","55.2%","98.3%","44,650","46.8%","23.1%","₹65,98,625","6.94","₹126.23","3,66,661"
"Basavanapura","2,21,845","2,20,103","1,69,213","83,635","82,367","50,465","99.2%","76.9%","49.4%","98.5%","31,894","38.7%","22.8%","₹88,71,533","9.62","₹168.17","5,16,880"
"Kudlu","2,36,803","2,34,065","1,97,098","81,672","80,368","50,108","98.8%","84.2%","41.4%","98.4%","30,253","37.6%","21.2%","₹83,78,598","9.02","₹159.12","4,80,351"
"Sir M. Vishweshwaraiah","1,18,310","1,17,288","78,883","70,564","68,993","49,703","99.1%","67.3%","89.5%","97.8%","19,275","27.9%","42.0%","₹70,42,823","7.65","₹131.90","4,16,894"
"Mattikere","1,27,532","1,26,489","91,822","74,048","72,560","49,681","99.2%","72.6%","80.6%","98.0%","22,863","31.5%","39.0%","₹62,40,282","6.83","₹121.59","3,55,613"
"Someshwara Ward","1,35,715","1,34,750","93,900","74,919","73,572","49,328","99.3%","69.7%","79.8%","98.2%","24,230","32.9%","36.4%","₹86,45,725","9.86","₹167.44","5,16,119"
"Kuvempunagar","1,46,326","1,45,244","1,05,110","75,973","74,164","49,239","99.3%","72.4%","72.3%","97.6%","24,917","33.6%","33.7%","₹74,73,265","8.65","₹148.64","4,40,698"
"Someshwara Nagar","2,02,532","2,01,374","1,60,896","84,826","83,617","48,356","99.4%","79.9%","52.7%","98.6%","35,234","42.1%","23.9%","₹69,48,587","7.55","₹133.60","3,98,478"
"Nalvadi Krishnaraja Wadior Park","1,15,514","1,14,506","75,953","68,469","66,856","48,127","99.1%","66.3%","90.1%","97.6%","18,727","28.0%","41.7%","₹70,63,617","8.19","₹140.92","4,18,340"
"Vishwanath Nagenahalli","1,54,030","1,53,201","1,18,304","73,656","72,720","47,891","99.5%","77.2%","62.3%","98.7%","24,812","34.1%","31.1%","₹65,30,937","6.53","₹119.33","3,70,828"
"HAL Airport","2,11,250","2,09,175","1,69,890","75,050","74,006","47,030","99.0%","81.2%","44.2%","98.6%","26,966","36.4%","22.3%","₹74,94,305","8.55","₹151.55","4,28,553"
"Vikram Nagar","1,19,772","1,18,755","89,035","66,520","64,768","45,251","99.2%","75.0%","74.7%","97.4%","19,502","30.1%","37.8%","₹58,00,764","7.24","₹129.76","3,30,132"
"Dodda Bommasandra","1,33,094","1,32,125","96,560","68,415","67,164","44,788","99.3%","73.1%","70.9%","98.2%","22,363","33.3%","33.7%","₹64,00,370","8.04","₹140.80","3,73,067"
"Hanumanth Nagar","1,11,343","1,10,436","78,939","63,637","62,055","44,418","99.2%","71.5%","80.6%","97.5%","17,619","28.4%","39.9%","₹51,96,937","6.75","₹118.14","2,94,931"
"Rajamahal Guttahalli","1,17,569","1,16,512","90,080","64,358","63,260","44,403","99.1%","77.3%","71.5%","98.3%","18,841","29.8%","37.8%","₹53,86,551","6.30","₹113.90","3,04,299"
"Gottigere","1,22,130","1,21,067","86,790","66,013","64,702","44,306","99.1%","71.7%","76.1%","98.0%","20,384","31.5%","36.3%","₹69,70,268","9.04","₹155.56","4,05,976"
"Okalipuram","1,38,471","1,37,027","1,05,136","78,599","77,551","44,243","99.0%","76.7%","74.8%","98.7%","33,277","42.9%","31.9%","₹61,59,044","6.79","₹122.73","3,45,240"
"Bande Mutt","1,48,773","1,47,190","93,694","68,336","66,875","43,599","98.9%","63.7%","72.9%","97.9%","23,253","34.8%","29.3%","₹65,21,990","8.47","₹149.11","3,83,759"
"Hosakerehalli","1,17,622","1,16,813","85,572","69,348","67,711","43,458","99.3%","73.3%","81.0%","97.6%","24,243","35.8%","37.0%","₹55,69,815","7.32","₹129.03","3,21,161"
"Sriramamandir","1,03,115","1,02,017","73,067","62,026","60,894","43,222","98.9%","71.6%","84.9%","98.2%","17,655","29.0%","41.9%","₹54,02,455","6.58","₹117.45","3,11,932"
"Chokkasandra","1,51,979","1,51,264","1,15,735","74,256","73,111","43,081","99.5%","76.5%","64.2%","98.5%","30,011","41.0%","28.3%","₹43,69,042","5.01","₹96.47","2,37,432"
"Tilak Nagar","1,65,973","1,64,860","1,35,480","73,314","71,905","42,761","99.3%","82.2%","54.1%","98.1%","29,125","40.5%","25.8%","₹52,38,333","6.98","₹126.96","2,89,803"
"Manorayanapalya","1,38,726","1,37,934","1,05,934","67,224","65,761","42,741","99.4%","76.8%","63.5%","97.8%","23,005","35.0%","30.8%","₹57,69,512","7.13","₹128.85","3,26,215"
"Srinagar","1,00,697","99,704","70,561","59,450","58,086","41,921","99.0%","70.8%","84.3%","97.7%","16,144","27.8%","41.6%","₹50,44,899","6.68","₹118.81","2,89,196"
"Kengeri","1,08,258","1,07,446","68,375","57,488","56,271","39,618","99.3%","63.6%","84.1%","97.9%","16,645","29.6%","36.6%","₹61,05,084","8.40","₹144.76","3,62,715"
"Marappana Palya","1,18,135","1,17,071","75,583","62,138","60,885","39,411","99.1%","64.6%","82.2%","98.0%","21,463","35.3%","33.4%","₹50,33,661","6.87","₹122.99","2,87,228"
"Hampi Nagar","95,276","94,422","65,398","57,118","55,601","39,198","99.1%","69.3%","87.3%","97.3%","16,380","29.5%","41.1%","₹49,96,931","6.72","₹120.11","2,87,236"
"Ullal","99,172","98,336","64,672","56,247","54,815","39,147","99.2%","65.8%","87.0%","97.5%","15,658","28.6%","39.5%","₹61,39,405","9.60","₹162.23","3,67,154"
"Naganathapura","1,71,381","1,69,665","1,31,681","66,576","65,568","38,620","99.0%","77.6%","50.6%","98.5%","26,938","41.1%","22.5%","₹74,16,872","10.40","₹179.22","4,36,687"
"Kamakya Nagar","1,09,692","1,08,757","82,046","58,708","57,518","38,541","99.2%","75.4%","71.5%","98.0%","18,968","33.0%","35.1%","₹47,04,595","6.01","₹109.83","2,65,949"
"Mangammanapalya","1,54,378","1,52,837","1,22,653","67,435","66,180","38,343","99.0%","80.3%","55.0%","98.1%","27,818","42.0%","24.8%","₹57,73,897","7.84","₹140.92","3,25,690"
"Doddagollarahatti","98,783","97,839","61,840","54,233","53,145","38,065","99.0%","63.2%","87.7%","98.0%","15,069","28.3%","38.5%","₹61,48,958","9","₹151.89","3,69,997"
"T Dasarahalli","1,16,879","1,16,132","81,881","62,233","61,128","37,945","99.4%","70.5%","76.0%","98.2%","23,152","37.9%","32.5%","₹44,28,407","6.41","₹115.27","2,48,636"
"Vidyapeeta ward","98,218","97,305","72,769","57,004","55,960","37,832","99.1%","74.8%","78.3%","98.2%","18,111","32.4%","38.5%","₹44,05,252","6.19","₹112.18","2,47,727"
"Chamundi Nagara","1,09,038","1,08,468","82,395","56,986","56,063","37,616","99.5%","76.0%","69.2%","98.4%","18,434","32.9%","34.5%","₹46,34,638","5.79","₹108.06","2,58,432"
"Atturu Layout","1,06,263","1,05,338","71,258","55,686","54,548","37,150","99.1%","67.6%","78.1%","98.0%","17,385","31.9%","35.0%","₹62,54,460","9","₹169.54","3,72,076"
"J P Park","1,07,208","1,06,388","77,661","55,905","54,791","37,081","99.2%","73.0%","72.0%","98.0%","17,699","32.3%","34.6%","₹49,36,530","6.65","₹119.43","2,84,992"
"Nagarabhavi","87,574","86,839","60,510","52,907","51,678","36,747","99.2%","69.7%","87.4%","97.7%","14,920","28.9%","42.0%","₹50,50,626","7.73","₹134.74","2,95,639"
"Marenahalli","83,523","82,785","56,507","51,111","49,970","36,141","99.1%","68.3%","90.5%","97.8%","13,815","27.7%","43.3%","₹43,40,983","7.04","₹124.10","2,48,263"
"Dr. Raj Kumar Ward","89,477","88,660","61,954","52,508","51,412","35,829","99.1%","69.9%","84.8%","97.9%","15,561","30.3%","40.0%","₹45,10,924","7.15","₹126.07","2,57,641"
"Jaraganahalli","1,10,924","1,10,009","85,970","59,511","58,207","35,674","99.2%","78.1%","69.2%","97.8%","22,518","38.7%","32.2%","₹40,62,345","6.79","₹121.30","2,25,413"
"Chickpete","1,85,488","1,83,645","1,50,079","93,173","92,089","34,980","99.0%","81.7%","62.1%","98.8%","57,078","62.0%","18.9%","₹58,08,054","9.79","₹167.33","3,40,988"
"Gali Anjenaya Temple ward","1,04,178","1,03,308","65,657","55,007","54,258","34,405","99.2%","63.6%","83.8%","98.6%","19,834","36.5%","33.0%","₹50,59,895","8.23","₹144.08","2,88,389"
"Vannarapete","99,365","98,763","79,376","50,576","49,797","33,723","99.4%","80.4%","63.7%","98.5%","16,070","32.3%","33.9%","₹40,82,537","6.51","₹117.94","2,27,962"
"Kammanahalli","1,11,511","1,10,898","87,583","55,916","55,260","33,576","99.5%","79.0%","63.8%","98.8%","21,666","39.2%","30.1%","₹44,12,131","6.67","₹121.53","2,48,871"
"Defence Colony","1,13,502","1,12,831","80,837","56,497","55,754","33,207","99.4%","71.6%","69.9%","98.7%","22,522","40.4%","29.3%","₹38,57,800","6.09","₹111.03","2,17,101"
"Kushal Nagar","1,06,911","1,06,401","82,697","52,289","51,701","32,787","99.5%","77.7%","63.2%","98.9%","18,908","36.6%","30.7%","₹40,58,575","6.48","₹118.28","2,27,574"
"Rajaji Nagar","78,766","78,002","52,276","46,245","45,396","32,404","99.0%","67.0%","88.5%","98.2%","12,979","28.6%","41.1%","₹41,07,176","6.26","₹112.33","2,35,670"
"Bommanahalli","1,52,618","1,51,217","1,22,893","55,029","54,175","32,011","99.1%","81.3%","44.8%","98.4%","22,152","40.9%","21.0%","₹44,56,835","7.35","₹132.21","2,49,748"
"Vijinapura","1,25,088","1,24,310","95,925","52,300","51,728","31,626","99.4%","77.2%","54.5%","98.9%","20,092","38.8%","25.3%","₹45,21,821","7.46","₹134.92","2,55,491"
"Srinivasa Nagar","74,452","73,908","51,573","43,303","42,504","31,259","99.3%","69.8%","84.0%","98.2%","11,234","26.4%","42.0%","₹36,41,236","6.62","₹117.91","2,07,210"
"Agaram","1,40,342","1,39,281","1,13,197","52,499","51,730","31,096","99.2%","81.3%","46.4%","98.5%","20,624","39.9%","22.2%","₹41,44,647","7.01","₹127.39","2,29,317"
"Gayithri Nagar","77,922","77,120","52,814","44,397","43,591","31,052","99.0%","68.5%","84.1%","98.2%","12,526","28.7%","39.9%","₹37,14,235","6.33","₹114.27","2,11,782"
"Vijayanagara Krishnadevaraya","79,830","79,216","51,953","45,187","44,220","30,360","99.2%","65.6%","87.0%","97.9%","13,851","31.3%","38.0%","₹40,21,673","7.41","₹127.94","2,35,209"
"Kammagondanahalli","88,813","88,177","63,366","44,948","44,183","30,124","99.3%","71.9%","70.9%","98.3%","14,051","31.8%","33.9%","₹46,42,293","8.44","₹144.22","2,74,443"
"Veerabhadranagar","83,820","83,214","58,885","46,701","45,797","29,394","99.3%","70.8%","79.3%","98.1%","16,390","35.8%","35.1%","₹33,13,096","6.11","₹109.13","1,86,855"
"Bharathi Nagar","1,13,705","1,13,062","92,076","52,147","51,610","28,677","99.4%","81.4%","56.6%","99.0%","22,911","44.4%","25.2%","₹35,77,300","6.35","₹116.49","1,97,970"
"Yelachenahalli","92,064","91,284","68,402","48,782","47,953","28,465","99.2%","74.9%","71.3%","98.3%","19,475","40.6%","30.9%","₹35,43,903","6.32","₹115.22","1,99,914"
"Deen Dayalu Ward","86,800","86,185","60,896","45,429","44,423","28,289","99.3%","70.7%","74.6%","97.8%","16,127","36.3%","32.6%","₹34,87,579","7.42","₹131.25","1,98,272"
"Kadugondanahalli","94,784","94,377","71,903","46,635","45,936","28,083","99.6%","76.2%","64.9%","98.5%","17,837","38.8%","29.6%","₹34,74,646","6.17","₹113.46","1,93,981"
"Sagayarapuram","98,658","98,158","79,329","46,502","46,108","28,010","99.5%","80.8%","58.6%","99.2%","18,086","39.2%","28.4%","₹32,70,499","5.85","₹108.30","1,78,616"
"Chanakya","96,377","95,232","57,457","46,149","44,733","27,699","98.8%","60.3%","80.3%","96.9%","17,027","38.1%","28.7%","₹38,52,559","7.52","₹136.38","2,21,877"
"Shivanagara","64,174","63,577","43,741","38,676","37,977","27,691","99.1%","68.8%","88.4%","98.2%","10,269","27.0%","43.1%","₹33,83,414","6.63","₹117.86","1,93,984"
"Mahalakshimpuram","65,516","64,850","44,936","39,445","38,745","27,477","99.0%","69.3%","87.8%","98.2%","11,250","29.0%","41.9%","₹33,70,934","6.53","₹116.34","1,93,461"
"Basaveshwara Nagar","58,527","57,844","40,053","36,905","36,131","27,146","98.8%","69.2%","92.1%","97.9%","8,976","24.8%","46.4%","₹33,50,801","7.74","₹132.38","1,94,172"
"Vidyamanyanagar","75,939","75,319","48,394","40,083","38,827","26,581","99.2%","64.3%","82.8%","96.9%","12,238","31.5%","35.0%","₹42,53,108","8.98","₹151.45","2,55,355"
"Peenya","91,034","90,256","62,590","46,109","45,149","26,421","99.2%","69.3%","73.7%","97.9%","18,711","41.4%","29.0%","₹35,43,467","7.85","₹138.30","2,06,158"
"Chowdeswari Ward","90,118","88,903","60,275","42,773","41,720","26,194","98.7%","67.8%","71.0%","97.5%","15,518","37.2%","29.1%","₹53,13,533","11.42","₹193.13","3,22,290"
"Govindaraja Nagar","56,479","55,909","37,517","34,726","33,936","25,734","99.0%","67.1%","92.6%","97.7%","8,195","24.1%","45.6%","₹33,03,480","6.92","₹122.15","1,92,036"
"Maruthi Mandir ward","59,573","59,060","39,759","36,081","35,073","25,648","99.1%","67.3%","90.8%","97.2%","9,417","26.9%","43.0%","₹33,53,990","7.65","₹133.05","1,94,119"
"Kamakshipalya","57,410","56,844","38,391","35,243","34,658","25,365","99.0%","67.5%","91.8%","98.3%","9,284","26.8%","44.2%","₹32,63,544","6.98","₹124.77","1,89,598"
"Avalahalli","67,045","66,451","46,911","38,773","37,890","24,789","99.1%","70.6%","82.7%","97.7%","13,090","34.5%","37.0%","₹33,15,008","7.50","₹132.55","1,89,999"
"Banashankari Temple ward","85,840","85,171","60,417","42,008","41,326","24,423","99.2%","70.9%","69.5%","98.4%","16,888","40.9%","28.4%","₹25,98,862","5.61","₹103.27","1,41,898"
"Kadugodi","1,14,762","1,13,298","84,957","40,959","40,210","24,200","98.7%","75.0%","48.2%","98.2%","16,001","39.8%","21.1%","₹45,37,344","8.91","₹155.22","2,67,519"
"Bagalakunte","80,540","80,086","53,963","37,043","36,470","23,104","99.4%","67.4%","68.7%","98.5%","13,344","36.6%","28.7%","₹30,01,387","6.12","₹112.39","1,73,032"
"Hosahalli","55,891","55,379","38,890","33,599","32,751","22,777","99.1%","70.2%","86.4%","97.5%","9,970","30.4%","40.8%","₹28,91,049","6.70","₹118.29","1,67,216"
"Shankar Matt","53,607","53,055","36,312","32,452","31,755","22,594","99.0%","68.4%","89.4%","97.9%","9,155","28.8%","42.1%","₹27,47,829","6.50","₹114.19","1,58,582"
"Nelagadderanahalli","70,269","69,751","52,684","33,633","33,005","20,820","99.3%","75.5%","63.8%","98.1%","12,173","36.9%","29.6%","₹27,89,659","7.24","₹125.97","1,62,660"
"Dodda Bidarakallu","75,747","75,035","49,346","34,318","33,515","20,643","99.1%","65.8%","69.5%","97.7%","12,864","38.4%","27.3%","₹33,25,375","8.39","₹144.62","1,98,915"
"Vijayanagar","54,745","54,304","37,527","30,855","30,132","20,474","99.2%","69.1%","82.2%","97.7%","9,645","32.0%","37.4%","₹22,56,693","5.67","₹102.67","1,26,023"
"Prakash Nagar","50,760","50,320","34,779","29,499","28,934","19,727","99.1%","69.1%","84.8%","98.1%","9,197","31.8%","38.9%","₹23,17,255","6.67","₹117.97","1,31,028"
"Shakthi Ganapathi Nagar","45,353","44,976","30,181","27,389","26,831","19,527","99.2%","67.1%","90.8%","98.0%","7,288","27.2%","43.1%","₹24,48,766","6.77","₹119.28","1,42,028"
"Chandra Layout","50,247","49,912","34,372","28,748","28,165","19,187","99.3%","68.9%","83.6%","98.0%","8,972","31.9%","38.2%","₹24,56,871","7.12","₹124.05","1,41,833"
"Herohalli","47,952","47,600","29,755","26,798","26,192","18,276","99.3%","62.5%","90.1%","97.7%","7,916","30.2%","38.1%","₹27,24,334","9.70","₹162.35","1,62,105"
"Agrahara Dasarahalli","43,027","42,536","27,331","25,002","24,554","18,053","98.9%","64.3%","91.5%","98.2%","6,496","26.5%","42.0%","₹24,01,294","7.51","₹127.94","1,39,769"
"Puneet Rajkumar","45,863","45,416","30,747","26,816","26,265","18,033","99.0%","67.7%","87.2%","97.9%","8,224","31.3%","39.3%","₹21,48,483","6.30","₹112.20","1,23,322"
"Nandini Layout","44,061","43,724","30,100","26,165","25,692","17,747","99.2%","68.8%","86.9%","98.2%","7,935","30.9%","40.3%","₹22,03,322","7.98","₹136.49","1,27,506"
"Binnipete","59,606","59,100","43,772","30,868","30,446","17,157","99.2%","74.1%","70.5%","98.6%","13,280","43.6%","28.8%","₹21,73,390","6.03","₹109.08","1,24,006"
"Nagavara","68,797","68,313","48,922","29,950","29,541","17,006","99.3%","71.6%","61.2%","98.6%","12,528","42.4%","24.7%","₹21,28,376","6.27","₹115.24","1,18,358"
"Rajagopal Nagar","49,249","48,787","35,227","25,452","24,943","16,453","99.1%","72.2%","72.3%","98.0%","8,483","34.0%","33.4%","₹21,43,115","6.57","₹116.78","1,24,679"
"Ranadheera Kanteerava","46,845","46,412","30,623","25,551","24,906","16,164","99.1%","66.0%","83.4%","97.5%","8,733","35.1%","34.5%","₹19,33,328","6.37","₹112.10","1,11,080"
"Hongasandra","66,045","65,467","52,043","27,198","26,768","15,798","99.1%","79.5%","52.3%","98.4%","10,964","41.0%","23.9%","₹23,11,899","7.83","₹141.91","1,31,471"
"Cottonpete","67,650","66,994","50,956","32,826","32,405","15,118","99.0%","76.1%","64.4%","98.7%","17,281","53.3%","22.4%","₹20,35,209","6.58","₹118.78","1,17,399"
"Dayananda Nagar","35,860","35,491","25,987","20,503","20,224","13,486","99.0%","73.2%","78.9%","98.6%","6,736","33.3%","37.6%","₹14,87,424","5.72","₹103.47","83,810"
"Mudalapalya","34,182","33,913","21,506","19,335","18,953","12,984","99.2%","63.4%","89.9%","98.0%","5,964","31.5%","38.0%","₹16,22,413","5.85","₹105.07","93,384"
"Nayandahalli","41,688","41,360","27,115","20,901","20,511","12,926","99.2%","65.6%","77.1%","98.1%","7,576","36.9%","31.0%","₹18,26,005","9.05","₹160.09","1,05,622"
"Venkateshpura","53,359","53,147","41,072","23,750","23,529","12,897","99.6%","77.3%","57.8%","99.1%","10,623","45.1%","24.2%","₹14,53,487","6.19","₹112.54","79,501"
"Azad Nagar","39,763","39,483","28,953","21,302","20,954","12,675","99.3%","73.3%","73.6%","98.4%","8,270","39.5%","31.9%","₹15,32,784","7.01","₹125.33","87,562"
"Jai Maruthinagara","33,022","32,752","22,329","19,042","18,500","12,151","99.2%","68.2%","85.3%","97.2%","6,338","34.3%","36.8%","₹13,97,378","5.52","₹100.04","79,844"
"Sunkadakatte","34,069","33,799","21,816","18,322","17,930","11,471","99.2%","64.5%","84.0%","97.9%","6,451","36.0%","33.7%","₹14,85,675","7","₹138.03","85,935"
"Mallasandra","35,455","35,213","25,485","17,802","17,359","11,329","99.3%","72.4%","69.8%","97.5%","6,028","34.7%","31.9%","₹13,98,636","6.89","₹121.69","80,245"
"Veera Sindhura Lakshamana","33,045","32,761","21,258","17,405","17,019","11,116","99.1%","64.9%","81.9%","97.8%","5,900","34.7%","33.6%","₹13,59,938","6.11","₹109.98","78,414"
"Kaveripura","28,034","27,744","18,644","15,486","15,239","9,824","99.0%","67.2%","83.1%","98.4%","5,412","35.5%","35.0%","₹13,13,810","7.12","₹123.67","76,749"
"Hegganahalli","29,838","29,557","19,390","15,783","15,383","9,628","99.1%","65.6%","81.4%","97.5%","5,750","37.4%","32.3%","₹12,61,951","8.58","₹149.67","73,342"
"Vrisabhavathi Nagar","27,199","26,940","17,322","14,909","14,631","9,475","99.1%","64.3%","86.1%","98.1%","5,149","35.2%","34.8%","₹11,45,896","6.27","₹110.72","65,907"
"Rajeshwari Nagar","28,779","28,581","18,659","14,870","14,391","9,020","99.3%","65.3%","79.7%","96.8%","5,365","37.3%","31.3%","₹10,82,889","6.25","₹112","62,331"
"Muneshwara Nagar","34,615","34,416","25,294","15,178","15,016","8,025","99.4%","73.5%","60.0%","98.9%","6,985","46.5%","23.2%","₹9,67,405","6.62","₹122.02","53,837"
"Jagajivanaram Nagar","26,740","26,526","19,388","13,672","13,471","6,957","99.2%","73.1%","70.5%","98.5%","6,512","48.3%","26.0%","₹9,32,470","9.07","₹155.48","53,891"
"Lakshmi Devi Nagar","19,623","19,467","12,660","10,597","10,356","6,580","99.2%","65.0%","83.7%","97.7%","3,774","36.4%","33.5%","₹7,84,021","7.66","₹133.48","44,959"
"S K Garden","28,317","28,182","21,614","11,877","11,800","6,492","99.5%","76.7%","54.9%","99.4%","5,305","45.0%","22.9%","₹8,17,438","7.25","₹132.63","45,511"
"Chalavadipalya","23,758","23,618","17,271","11,491","11,350","6,328","99.4%","73.1%","66.5%","98.8%","5,013","44.2%","26.6%","₹8,14,489","6.59","₹121.66","46,499"
"Padarayanapura","20,946","20,772","14,648","10,189","9,934","5,098","99.2%","70.5%","69.6%","97.5%","4,830","48.6%","24.3%","₹7,11,850","8.93","₹157.83","40,182"
"Bapuji Nagar","18,887","18,768","12,466","9,740","9,629","5,074","99.4%","66.4%","78.1%","98.9%","4,552","47.3%","26.9%","₹6,34,454","6.99","₹128.51","36,059"
"Kempapura Agrahara","16,628","16,463","11,059","8,049","7,934","4,452","99.0%","67.2%","72.8%","98.6%","3,479","43.9%","26.8%","₹5,20,021","6.26","₹112.07","29,348"
"Devaraj Urs Nagar","17,831","17,746","12,387","8,865","8,724","4,040","99.5%","69.8%","71.6%","98.4%","4,683","53.7%","22.7%","₹5,07,415","5.45","₹97.72","28,547"
"Devara Jeevanahalli","9,611","9,548","7,245","3,770","3,730","1,407","99.3%","75.9%","52.0%","98.9%","2,323","62.3%","14.6%","₹1,90,579","5.90","₹114","10,687"
"Bangalore Total","6,73,34,064","6,64,43,051","5,29,16,372","3,00,17,755","2,94,53,513","1,86,28,581","98.7%","79.6%","56.7%","98.1%","1,08,17,296","36.7%","27.7%","₹2,67,99,10,491","8.16","₹143.86","15,20,07,679"